"RECORDID"	"ONEPERID"	"ONEPERFLAG"	"ORGFLAG"	"GROUPFLAG"	"EBDFFLAG"	"MASTERRECORDID"
"88R0001004"	"88R0001004"	"1"	""	""	"1"	"MA08706631"
"88R0001018"	"88R0001018"	"1"	""	""	"1"	"MF13103403"
"88R0001032"	"88R0001032"	"1"	""	""	"1"	"MA09043493"
"88R0001037"	"88R0001037"	"1"	""	""	"1"	"MA08167720"
"88R0001049"	"88R0001049"	"1"	""	""	"1"	"MA08914381"
"88R0001066"	"88R0001066"	"1"	""	""	"1"	"MA08712243"
"88R0001076"	"88R0001076"	"1"	""	""	""	"MA11111169"
"88R0001116"	"88R0001116"	"1"	""	""	"1"	"MA11024758"
"88R0001122"	"88R0001122"	"1"	""	""	"1"	"MA11126763"
"88R0001141"	"88R0001141"	"1"	""	""	"1"	"MA11242169"
"88R0001148"	"88R0001148"	"1"	""	""	"1"	"MA08350337"
"88R0001158"	"88R0001158"	"1"	""	""	"1"	"MA11030970"
"88R0001160"	"88R0001160"	"1"	""	""	"1"	"MA09485188"
"88R0001166"	"88R0001166"	"1"	""	""	"1"	"MA11028777"
"88R0001183"	"88R0001183"	"1"	""	""	"1"	"MA08311991"
"88R0001184"	"88R0001184"	"1"	""	""	"1"	"MA11040888"
"88R0001190"	"88R0001190"	"1"	""	""	"1"	"MR03420525"
"88R0001207"	"88R0001207"	"1"	""	""	"1"	"MA11103480"
"88R0001243"	"88R0001243"	"1"	""	""	"1"	"MA11229448"
"88R0001254"	"88R0001254"	"1"	""	""	"1"	"MA12277187"
"88R0001319"	"88R0001319"	"1"	""	""	"1"	"MA09052218"
"8930000760"	"8930000760"	"1"	""	""	"1"	"MA08581545"
"8930000824"	"8930000824"	"1"	""	""	"1"	"MA11080583"
"8930000979"	"8930000979"	"1"	""	""	"1"	"MA08990161"
"8930000984"	"8930000984"	"1"	""	""	"1"	"MA08581371"
"8930001019"	"8930001019"	"1"	""	""	"1"	"MA09052905"
"8930001061"	"8930001061"	"1"	""	""	""	"MA10998079"
"8930001069"	"8930001069"	"1"	""	""	"1"	"MA08842165"
"8930001077"	"8930001077"	"1"	""	""	"1"	"MA11654478"
"8930001100"	"8930001100"	"1"	""	""	"1"	"MA11036331"
"8930001124"	"8930001124"	"1"	""	""	"1"	"MA11203245"
"8930001194"	"8930001194"	"1"	""	""	"1"	"MA11119885"
"8930001252"	"8930001252"	"1"	""	""	""	"MA09471127"
"8930001258"	"8930001258"	"1"	""	""	"1"	"MA11153502"
"8930001308"	"8930001308"	"1"	""	""	"1"	"MA09150704"
"8930001443"	"8930001443"	"1"	""	""	"1"	"MA10992246"
"89A0000798"	"89A0000798"	"1"	""	""	"1"	"MA09018113"
"89A0000815"	"89A0000815"	"1"	""	""	"1"	"MA11013239"
"89A0000940"	"89A0000940"	"1"	""	""	"1"	"MA08381668"
"89A0000961"	"89A0000961"	"1"	""	""	"1"	"MA11646389"
"89A0000989"	"89A0000989"	"1"	""	""	"1"	"MA09028887"
"89A0000993"	"89A0000993"	"1"	""	""	"1"	"MA11125116"
"89A0001002"	"89A0001002"	"1"	""	""	"1"	"MA09748113"
"89A0001017"	"89A0001017"	"1"	""	""	"1"	"MA11159738"
"89A0001024"	"89A0001024"	"1"	""	""	""	"MA11153397"
"89A0001116"	"89A0001116"	"1"	""	""	"1"	"MA11138068"
"89A0001117"	"89A0001117"	"1"	""	""	"1"	"MA11235614"
"89A0001141"	"89A0001141"	"1"	""	""	"1"	"MA11077905"
"89A0001148"	"89A0001148"	"1"	""	""	"1"	"MA08721671"
"89A0001156"	"89A0001156"	"1"	""	""	"1"	"MA11101573"
"89A0001189"	"89A0001189"	"1"	""	""	"1"	"MR04624543"
"89A0001205"	"89A0001205"	"1"	""	""	"1"	"MA08970804"
"89A0001208"	"89A0001208"	"1"	""	""	""	"MA11137958"
"89A0001275"	"89A0001275"	"1"	""	""	""	"MA09739149"
"89A0001333"	"89A0001333"	"1"	""	""	"1"	"MA11202820"
"89A0001435"	"89A0001435"	"1"	""	""	"1"	"MA11066097"
"89A0001436"	"89A0001436"	"1"	""	""	"1"	"MA10994199"
"89I0002610"	"89I0002610"	"1"	""	""	""	"MR00232289"
"89I0002666"	"89I0002666"	"1"	""	""	"1"	"MR05448003"
"89I0002703"	"89I0002703"	"1"	""	""	"1"	"MF10313069"
"89I0002748"	"89I0002748"	"1"	""	""	"1"	"MA09351663"
"89I0002749"	"89I0002749"	"1"	""	""	""	"MA09518701"
"89I0002786"	"89I0002786"	"1"	""	""	""	"MF05697005"
"89I0002822"	"89I0002822"	""	""	"1"	"1"	"MR06363115"
"89I0002832"	"89I0002832"	"1"	""	""	"1"	"MA09456181"
"89I0002839"	"89I0002839"	"1"	""	""	"1"	"MR23086588"
"89I0002846"	"89I0002846"	""	""	"1"	"1"	"MR06363115"
"89I0002869"	"89I0002869"	"1"	""	""	"1"	"MA09038753"
"89I0002876"	"89I0002876"	"1"	""	""	"1"	"MA11173705"
"89I0002918"	"89I0002918"	"1"	""	""	"1"	"MA11651382"
"89I0002921"	"89I0002921"	"1"	""	""	"1"	"MF09389095"
"89I0002930"	"89I0002930"	"1"	""	""	"1"	"MA11517435"
"89I0002950"	"89I0002950"	"1"	""	""	"1"	"MR08630414"
"89I0002983"	"89I0002983"	"1"	""	""	"1"	"MA08703012"
"89I0002993"	"89I0002993"	"1"	""	""	"1"	"MA11172117"
"89I0003013"	"89I0003013"	"1"	""	""	"1"	"N00012VG4B"
